Number,Name,Type_1,Total,HP,Attack,Defense,Sp_Atk,Sp_Def,Speed,Generation,isLegendary,Color,hasGender,Pr_Male,Egg_Group_1,hasMegaEvolution,Height_m,Weight_kg,Catch_Rate,Body_Style
114,Tangela,9,109,36,30,75,70,13,37,0,0,1,1,3,7,0,10,183,5,5
115,Kangaskhan,12,146,70,69,53,17,50,66,0,0,2,1,0,10,1,22,278,5,0
116,Horsea,17,41,5,15,44,45,2,37,0,0,1,1,3,12,0,3,59,30,4
117,Seadra,17,111,26,40,64,66,18,62,0,0,1,1,3,12,0,12,145,11,4
118,Goldeen,17,59,17,42,34,12,22,40,0,0,7,1,3,13,0,5,96,30,13
119,Seaking,17,116,51,66,39,41,50,45,0,0,7,1,3,13,0,13,193,8,13
120,Staryu,17,68,5,20,29,45,27,62,0,0,2,0,4,14,0,7,181,30,4
121,Starmie,17,162,31,50,57,70,54,88,0,0,6,0,4,14,0,11,278,8,4
122,Mr._Mime,14,122,12,20,39,70,77,66,0,0,5,1,3,8,0,13,237,5,1
123,Scyther,0,152,41,81,53,31,50,79,0,0,3,1,3,1,0,15,242,5,2
124,Jynx,11,119,36,25,11,82,62,70,0,0,7,1,0,8,0,14,201,5,1
125,Electabuzz,3,146,36,57,31,66,54,79,0,0,9,1,5,8,0,11,163,5,0
126,Magmar,6,148,36,69,31,70,54,69,0,0,7,1,5,8,0,13,212,5,0
127,Pinsir,0,152,36,89,67,31,41,62,0,0,2,1,3,1,1,15,238,5,1
128,Tauros,12,146,46,72,64,17,41,83,0,0,2,1,7,5,0,14,296,5,9
129,Magikarp,17,5,2,1,29,1,0,57,0,0,7,1,3,13,0,9,72,32,13
130,Gyarados,17,171,63,89,52,36,66,58,0,0,1,1,3,13,1,44,369,5,10
131,Lapras,17,170,83,59,53,58,62,37,0,0,1,1,3,10,0,25,366,5,13
132,Ditto,12,36,19,23,22,25,20,27,0,0,6,0,4,2,0,2,30,4,6
133,Eevee,12,61,26,30,24,22,37,32,0,0,2,1,6,5,0,2,47,5,9
134,Vaporeon,17,165,83,40,34,78,62,42,0,0,1,1,6,5,0,10,159,5,9
135,Jolteon,3,165,36,40,34,78,62,96,0,0,9,1,6,5,0,7,143,5,9
136,Flareon,6,165,36,91,34,66,73,42,0,0,7,1,6,5,0,9,145,5,9
137,Porygon,12,91,36,35,44,58,45,19,0,0,5,0,4,9,0,7,188,5,5
138,Omanyte,15,76,7,15,67,62,27,15,0,0,1,1,6,12,0,3,54,5,11
139,Omastar,15,148,41,35,82,82,41,32,0,0,1,1,6,12,0,10,183,5,11
140,Kabuto,15,76,5,54,62,31,18,32,0,0,2,1,6,12,0,4,82,5,7
141,Kabutops,15,148,31,83,70,41,41,57,0,0,2,1,6,12,0,13,200,5,0
142,Aerodactyl,15,159,51,76,39,36,45,96,0,0,6,1,6,6,1,18,248,5,12
143,Snorlax,12,171,88,81,39,41,73,10,0,0,0,1,6,10,0,21,392,2,1
144,Articuno,11,177,60,59,67,66,79,62,0,1,1,0,4,11,0,17,239,0,12
145,Zapdos,3,177,60,64,57,85,59,74,0,1,9,0,4,11,0,16,234,0,12
146,Moltres,6,177,60,72,62,85,54,66,0,1,9,0,4,11,0,20,250,0,12
147,Dratini,2,43,13,39,20,27,22,29,0,0,1,1,3,12,0,18,25,5,10
148,Dragonair,2,102,32,58,39,45,41,47,0,0,1,1,3,12,0,36,103,5,10
149,Dragonite,2,178,61,93,64,70,66,57,0,0,2,1,3,12,0,22,363,5,0
150,Mewtwo,14,181,71,81,62,93,59,96,0,1,6,0,4,11,1,20,326,0,0
151,Mew,14,178,66,72,67,70,66,74,0,0,5,0,4,11,0,3,30,5,0
152,Chikorita,9,57,17,24,39,26,37,24,1,0,3,1,6,10,0,9,46,5,9
153,Bayleef,9,94,31,37,53,39,50,37,1,0,3,1,6,10,0,12,100,5,9
154,Meganium,9,165,51,56,67,57,66,57,1,0,3,1,6,10,0,18,312,5,9
155,Cyndaquil,6,51,11,27,18,36,22,42,1,0,9,1,6,5,0,4,58,5,1
156,Quilava,6,94,29,39,32,55,37,57,1,0,9,1,6,5,0,9,113,5,9
157,Typhlosion,6,169,49,58,51,77,54,74,1,0,9,1,6,5,0,17,277,5,9
158,Totodile,17,54,21,40,38,21,20,22,1,0,1,1,6,10,0,5,70,5,0
159,Croconaw,17,94,36,54,53,35,35,35,1,0,1,1,6,10,0,11,145,5,0
160,Feraligatr,17,167,56,76,67,54,53,55,1,0,1,1,6,10,0,23,297,5,0
161,Sentret,12,9,7,21,10,12,18,3,1,0,2,1,3,5,0,7,43,32,9
162,Furret,12,100,56,51,38,22,27,66,1,0,2,1,3,5,0,18,171,13,9
163,Hoothoot,12,23,31,10,7,13,28,29,1,0,2,1,3,6,0,6,127,32,12
164,Noctowl,12,112,66,25,24,51,63,47,1,0,2,1,3,6,0,16,202,13,12
165,Ledyba,0,26,12,3,7,17,50,32,1,0,7,1,3,1,0,10,78,32,12
166,Ledian,0,90,26,12,24,31,73,62,1,0,7,1,3,1,0,14,186,13,12
167,Spinarak,0,18,12,35,15,17,13,10,1,0,3,1,3,1,0,4,63,32,7
168,Ariados,0,90,41,64,44,36,32,19,1,0,7,1,3,1,0,11,177,13,7
169,Crobat,13,170,56,64,53,45,50,96,1,0,6,1,3,6,0,18,270,13,2
170,Chinchou,17,64,46,14,13,32,28,44,1,0,1,1,3,13,0,4,85,26,13
171,Lanturn,17,122,81,33,32,51,46,44,1,0,1,1,3,13,0,12,132,11,13
172,Pichu,3,6,2,15,2,12,8,37,1,0,9,1,3,11,0,2,14,26,9
173,Cleffa,4,10,21,7,6,22,27,2,1,0,5,1,2,11,0,2,22,21,0
174,Igglybuff,12,7,60,10,2,17,0,2,1,0,5,1,2,11,0,2,6,24,1
175,Togepi,4,17,7,3,39,17,37,3,1,0,8,1,6,11,0,2,10,26,1
176,Togetic,4,94,26,15,57,55,69,19,1,0,8,1,6,6,0,5,24,11,1
177,Natu,14,59,12,25,20,45,18,47,1,0,3,1,3,6,0,1,14,26,12
178,Xatu,14,130,36,50,44,66,41,70,1,0,3,1,3,6,0,15,96,11,12
179,Mareep,3,33,26,15,15,41,18,15,1,0,8,1,3,10,0,5,57,31,9
180,Flaaffy,3,81,41,30,29,55,32,24,1,0,5,1,3,10,0,7,89,15,0
181,Ampharos,3,157,60,50,57,82,59,32,1,0,9,1,3,10,1,14,255,5,0
182,Bellossom,9,146,46,54,64,62,66,29,1,0,3,1,3,7,0,3,41,5,1
183,Marill,17,18,41,3,24,2,22,19,1,0,1,1,3,12,0,3,63,26,0
184,Azumarill,17,102,66,25,53,36,50,29,1,0,1,1,3,12,0,7,157,11,0
185,Sudowoodo,15,96,41,72,75,8,37,10,1,0,2,1,3,9,0,12,191,9,1
186,Politoed,17,152,60,50,48,62,66,47,1,0,3,1,3,12,0,11,178,5,0
187,Hoppip,9,18,7,12,15,12,27,29,1,0,5,1,3,4,0,3,2,32,0
188,Skiploom,9,68,26,20,24,22,37,57,1,0,3,1,3,4,0,5,6,15,0
189,Jumpluff,9,122,46,30,44,31,62,83,1,0,1,1,3,4,0,7,22,5,0
190,Aipom,12,78,26,45,29,17,27,62,1,0,6,1,3,5,0,7,82,5,0
191,Sunkern,9,0,5,10,7,8,3,10,1,0,9,1,3,7,0,2,12,31,6
192,Sunflora,9,105,46,50,29,73,54,10,1,0,9,1,3,7,0,7,63,15,1
193,Yanma,0,90,36,40,20,50,18,70,1,0,7,1,3,1,0,12,191,11,2
194,Wooper,17,7,26,20,20,5,2,2,1,0,1,1,3,12,0,3,63,32,5
195,Quagsire,17,107,63,59,57,41,37,15,1,0,1,1,3,12,0,14,270,13,0
196,Espeon,14,165,36,40,34,88,62,83,1,0,6,1,6,5,0,9,151,5,9
197,Umbreon,1,165,63,40,73,36,82,42,1,0,0,1,6,5,0,10,153,5,9
198,Murkrow,1,94,31,59,17,58,15,67,1,0,0,1,3,6,0,4,15,3,12
199,Slowking,17,146,63,50,53,70,73,10,1,0,5,1,3,10,0,20,277,10,0
200,Misdreavus,8,109,31,35,34,58,54,62,1,0,6,1,3,0,0,6,6,5,6
201,Unown,14,67,19,47,22,47,20,27,1,0,0,0,4,11,0,4,35,30,6
202,Wobbuffet,14,94,91,11,32,11,30,13,1,0,1,1,3,0,0,13,157,5,4
203,Girafarig,12,119,41,54,39,62,37,62,1,0,9,1,3,5,0,15,204,8,9
204,Pineco,0,38,21,40,62,12,8,2,1,0,4,1,3,1,0,5,51,26,6
205,Forretress,0,126,46,64,88,36,32,19,1,0,6,1,3,1,0,12,327,11,6
206,Dunsparce,12,100,66,45,44,41,37,24,1,0,9,1,3,5,0,15,92,26,10
207,Gligar,10,107,36,50,70,12,37,62,1,0,6,1,3,1,0,11,258,8,12
208,Steelix,16,157,46,59,95,31,37,10,1,0,4,1,3,9,1,48,389,2,10
209,Snubbull,4,43,31,54,24,17,13,10,1,0,5,1,2,5,0,5,57,26,1
210,Granbull,4,116,60,85,48,36,32,24,1,0,6,1,2,5,0,14,222,11,0
211,Qwilfish,17,107,36,69,48,31,27,62,1,0,4,1,3,13,0,4,29,5,13
212,Scizor,0,152,41,91,67,31,50,42,1,0,7,1,3,1,1,18,324,2,2
213,Shuckle,0,153,2,1,96,0,89,0,1,0,9,1,3,1,0,5,123,26,7
214,Heracross,0,152,51,89,48,17,62,62,1,0,1,1,3,1,1,15,236,5,1
215,Sneasel,1,107,26,69,29,12,45,88,1,0,0,1,3,5,0,9,155,8,0
216,Teddiursa,12,64,31,54,24,27,22,19,1,0,2,1,3,5,0,5,66,15,0
217,Ursaring,12,152,60,91,48,50,45,32,1,0,2,1,3,5,0,18,327,8,0
218,Slugma,6,18,12,15,15,45,13,3,1,0,7,1,3,0,0,6,183,26,10
219,Magcargo,6,96,21,25,79,55,50,10,1,0,7,1,3,0,0,7,238,11,10
220,Swinub,11,18,21,25,15,8,3,29,1,0,2,1,3,5,0,3,47,30,9
221,Piloswine,11,116,66,72,53,36,32,29,1,0,2,1,3,5,0,11,241,11,9
222,Corsola,17,86,26,30,57,41,54,15,1,0,5,1,2,12,0,5,35,8,7
223,Remoraid,17,43,7,40,11,41,8,42,1,0,4,1,3,12,0,5,85,26,13
224,Octillery,17,137,46,76,48,73,45,24,1,0,7,1,3,12,0,9,157,11,11
225,Delibird,11,64,17,30,20,41,18,52,1,0,7,1,3,12,0,9,101,5,12
226,Mantine,17,126,36,15,44,55,85,47,1,0,6,1,3,12,0,21,366,2,12
227,Skarmory,16,126,36,54,88,17,41,47,1,0,4,1,3,6,0,17,227,2,12
228,Houndour,1,64,17,35,7,55,22,42,1,0,0,1,3,5,0,5,78,15,9
229,Houndoom,1,152,46,64,24,78,50,70,1,0,0,1,3,5,1,14,183,5,9
230,Kingdra,17,171,46,69,64,66,62,62,1,0,1,1,3,12,0,18,343,5,4
231,Phanpy,10,64,60,35,34,17,13,19,1,0,1,1,3,5,0,4,177,15,9
232,Donphan,10,152,60,85,79,36,32,29,1,0,4,1,3,5,0,11,325,8,9
233,Porygon2,12,159,56,54,62,73,62,37,1,0,7,0,4,9,0,5,171,5,5
234,Stantler,12,126,44,69,36,58,37,62,1,0,2,1,3,5,0,14,267,5,9
235,Smeargle,12,18,26,3,11,2,18,52,1,0,8,1,3,5,0,12,246,5,0
236,Tyrogue,5,7,7,12,11,12,8,15,1,0,6,1,7,11,0,6,126,11,1
237,Hitmontop,5,119,21,69,64,12,73,47,1,0,2,1,7,8,0,14,219,5,0
238,Smoochum,11,47,17,10,2,58,37,42,1,0,5,1,0,11,0,3,43,5,1
239,Elekid,3,78,17,38,12,41,27,70,1,0,9,1,5,11,0,5,137,5,1
240,Magby,6,81,17,50,12,45,27,60,1,0,7,1,5,11,0,6,128,5,0
241,Miltank,12,146,63,54,70,17,41,74,1,0,5,1,0,5,0,12,271,5,0
242,Blissey,12,171,93,1,1,50,83,32,1,0,5,1,0,4,0,15,217,3,1
243,Raikou,3,177,60,59,48,82,66,88,1,1,9,0,4,11,0,19,350,0,9
244,Entei,6,177,77,83,57,62,45,74,1,1,2,0,4,11,0,21,354,0,9
245,Suicune,17,177,66,50,75,62,75,62,1,1,1,0,4,11,0,20,352,0,9
246,Larvitar,15,43,21,39,24,22,22,20,1,0,3,1,3,10,0,5,269,5,0
247,Pupitar,15,96,41,58,44,41,41,30,1,0,4,1,3,10,0,12,343,5,10
248,Tyranitar,15,178,66,93,73,66,66,38,1,0,3,1,3,10,1,20,358,5,0
249,Lugia,14,181,71,64,84,62,87,83,1,1,8,0,4,11,0,40,365,0,12
250,Ho-Oh,6,181,71,91,62,78,87,66,1,1,7,0,4,11,0,35,355,0,12
251,Celebi,14,178,66,72,67,70,66,74,1,0,3,0,4,11,0,5,35,5,1
252,Treecko,9,52,12,20,11,41,27,47,2,0,3,1,6,10,0,4,35,5,0
253,Grovyle,9,94,21,40,20,58,37,70,2,0,3,1,6,10,0,9,130,5,0
254,Sceptile,9,167,41,59,39,73,54,91,2,0,3,1,6,10,1,17,232,5,0
255,Torchic,6,52,17,35,15,45,22,24,2,0,7,1,6,5,0,3,18,5,5
256,Combusken,6,94,31,59,34,58,32,32,2,0,7,1,6,5,0,9,115,5,0
257,Blaziken,6,167,51,85,44,78,41,57,2,0,7,1,6,5,1,19,231,5,0
258,Mudkip,17,52,21,45,24,27,22,19,2,0,1,1,6,10,0,3,55,5,9
259,Marshtomp,17,94,41,59,44,36,41,29,2,0,1,1,6,10,0,6,155,5,0
260,Swampert,17,170,66,81,62,58,59,37,2,0,1,1,6,10,1,15,284,5,0
261,Poochyena,1,11,7,30,11,8,3,15,2,0,4,1,3,5,0,4,91,32,9
262,Mightyena,1,102,41,64,44,36,32,47,2,0,4,1,3,5,0,10,189,17,9
263,Zigzagoon,12,15,10,10,16,8,14,37,2,0,2,1,3,5,0,3,107,32,9
264,Linoone,12,102,49,45,35,27,33,74,2,0,8,1,3,5,0,4,171,13,9
265,Wurmple,0,3,17,20,11,2,3,3,2,0,7,1,3,1,0,2,28,32,10
266,Silcoon,0,6,21,12,29,5,2,2,2,0,8,1,3,1,0,5,72,15,6
267,Beautifly,0,91,31,45,24,70,22,42,2,0,9,1,3,1,0,10,156,5,2
268,Cascoon,0,6,21,12,29,5,2,2,2,0,6,1,3,1,0,6,82,15,6
269,Dustox,0,89,31,25,44,27,59,42,2,0,3,1,3,1,0,12,168,5,2
270,Lotad,17,11,12,10,7,17,22,10,2,0,3,1,3,12,0,4,19,32,7
271,Lombre,17,68,31,25,24,36,41,29,2,0,3,1,3,12,0,12,171,15,1
272,Ludicolo,17,137,51,45,44,62,66,47,2,0,3,1,3,12,0,15,238,5,1
273,Seedot,9,11,12,15,24,8,3,10,2,0,2,1,3,5,0,4,30,32,5
274,Nuzleaf,9,68,41,45,15,36,13,37,2,0,2,1,3,5,0,10,155,15,1
275,Shiftry,9,137,60,72,34,62,32,57,2,0,2,1,3,5,0,13,249,5,1
276,Taillow,12,29,12,30,7,8,3,62,2,0,1,1,3,6,0,2,17,27,12
277,Swellow,12,107,31,59,34,27,22,94,2,0,1,1,3,6,0,6,117,5,12
278,Wingull,17,29,12,10,7,31,3,62,2,0,8,1,3,12,0,5,70,26,12
279,Pelipper,17,107,31,25,67,58,41,42,2,0,9,1,3,12,0,12,155,5,12
280,Ralts,14,4,4,7,5,22,8,19,2,0,8,1,3,0,0,3,48,31,1
281,Kirlia,14,32,10,12,11,41,27,29,2,0,8,1,3,0,0,7,121,15,1
282,Gardevoir,14,160,39,40,39,85,75,57,2,0,8,1,3,0,1,16,220,5,1
283,Surskit,0,28,12,10,8,27,24,42,2,0,1,1,3,12,0,4,11,27,7
284,Masquerain,0,99,41,35,36,55,52,37,2,0,1,1,3,12,0,7,28,11,2
285,Shroomish,9,41,31,15,34,17,32,15,2,0,2,1,3,4,0,3,34,32,5
286,Breloom,9,122,31,91,53,36,32,47,2,0,3,1,3,4,0,12,194,13,0
287,Slakoth,12,33,31,35,34,12,8,10,2,0,2,1,3,5,0,7,140,32,9
288,Vigoroth,12,111,51,54,53,31,27,66,2,0,8,1,3,5,0,14,216,15,0
289,Slaking,12,180,87,98,67,66,37,74,2,0,2,1,3,5,0,20,330,5,1
290,Nincada,0,27,6,20,62,8,3,19,2,0,4,1,3,1,0,4,39,32,7
291,Ninjask,0,120,32,64,20,27,22,100,2,0,9,1,3,1,0,7,85,15,2
292,Shedinja,0,13,0,64,20,8,3,19,2,0,2,0,4,9,0,7,8,5,4
293,Whismur,12,15,35,26,4,28,1,8,2,0,5,1,3,10,0,5,102,26,0
294,Loudred,12,78,55,46,18,46,16,27,2,0,1,1,3,10,0,10,200,15,0
295,Exploud,12,146,69,65,37,63,44,45,2,0,1,1,3,10,0,15,287,5,0
296,Makuhita,5,14,43,35,7,2,3,7,2,0,9,1,5,8,0,10,293,25,1
297,Hariyama,5,134,86,85,34,17,32,29,2,0,2,1,5,8,0,23,371,27,1
298,Azurill,12,1,21,3,15,2,13,3,2,0,1,1,2,11,0,1,14,21,5
299,Nosepass,15,85,5,20,87,22,59,10,2,0,4,1,3,9,0,10,309,32,1
300,Skitty,12,22,21,20,20,12,8,29,2,0,5,1,2,5,0,5,80,32,9
301,Delcatty,12,86,41,40,39,31,27,47,2,0,6,1,2,5,0,11,172,8,9
